anti_pattern,column,total_before,total_after,delta,pct_change
Too Broad Except,n_generic_except,2574,2685,111,4.31
Swallowing Exceptions,n_try_pass,1798,1851,53,2.95
Too Broad Raising,n_captures_broad_raise,739,753,14,1.89
Bare Except Catch Block,n_bare_except,658,680,22,3.34
Nested Try-Except Blocks,n_nested_try,48,49,1,2.08
Bare Raise Block,n_captures_misplaced_bare_raise,26,21,-5,-19.23
Bare Raise inside Finally,n_bare_raise_finally,1,1,0,0.0
TOTAL,,5844,6040,196,3.35
