Domain,API-Related,Import-Related,Improper Msg,Finally Block,Incorrect Action,Incorrect Re-raise,Missing Raise Cond.,Py Version Compat.,Unexpected Raising,Unhandled Exc.,Wrong Exc. Type,Wrong Raise Type,Total
ML & AI,3,2,24,2,67,6,46,0,8,119,6,4,287
DevOps/Cloud,11,2,23,1,71,7,27,2,3,173,6,7,333
Dev Tools,3,4,8,0,29,2,9,1,0,81,3,1,141
End-user Apps,0,0,5,0,20,3,5,0,2,48,1,1,85
Scientific,0,0,0,0,1,0,0,0,0,9,0,0,10
Security/Net,1,0,0,0,11,0,3,0,1,24,2,0,42
Web APIs,0,1,2,0,7,1,9,0,0,23,0,1,44
